name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Shamrock Cocktail,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Classics,Cocktail Glass, Irish Whiskey, Dry Vermouth, Old Mr. Boston Green Creme de Menthe,,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,,,,,,,,,
Aqueduct,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Vodka,Cocktail Glass, Vodka, Fresh Lime Juice, White curacao or triple sec, Apricot-Flavored Brandy, Orange twist,,,,,,,,1 1/2 oz,3/4 oz,1/2 oz,1/2 oz,,,,,,,,
Scotch Whisky Highball,"Put whisky in highball glass with ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Cocktail Classics,Highball Glass, Desmond & Duff Scotch Whisky,ginger ale,lemon twist,,,,,,,,,,2 oz,,,,,,,,,,,
Alfie Cocktail,Shake with ice and strain into chilled cocktail glass.,Vodka,Cocktail Glass, lemon-flavored vodka, Pineapple Juice, Triple Sec,,,,,,,,,,1 1/2 oz,3/4 oz,1/2 oz,,,,,,,,,
Admiral Perry,Stir with ice and shake into chilled cocktail glass. Garnish with pear slice.,Vodka,Cocktail Glass, Pear-flavored vodka, Cinnamon schnapps, Dry Vermouth, White creme de cacao, Thin pear slice,,,,,,,,2 oz,1 oz,1 oz,1 oz,,,,,,,,
Yellow Rose Of Texas,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with rose water.,Tequila,Cocktail Glass, Blanco tequila, Fresh lemon juice, Simple Syrup, Yellow Chartreuse, Rose water,,,,,,,,2 oz,3/4 oz,1/2 oz,1/4 oz,3 oz,,,,,,,
St. Patrick's Day Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Collins Glass, Old Mr. Boston Green Creme de Menthe, Green Chartreuse, Irish Whiskey, Bitters,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,1 oz,,,,,,,,
Purple Twister,"Pour into collins glass over ice cubes. Fill with cola, add slice of lemon, and stir.",Cocktail Classics,Collins Glass, Old Mr. Boston Grape Vodka,cola,lemon slice,,,,,,,,,,2 oz,,,,,,,,,,,
Waiting On Summer,"Muddle cucumber, sage, and lime juice in mixing glass. Add tequila and syrup with ice and shake. Double-strain into ice-filled Collins glass. Top with ginger ale. Garnish with strawberry.",Tequila,Collins Glass, Cucumber, Fresh sage leaves, Fresh Lime Juice, Blanco tequila, Simple Syrup," Ginger ale, strawberry slice",,,,,,,3 oz,3 oz,1/2 oz,1 1/2 oz,3/4 oz,3 oz,,,,,,
Cognac Highball,"Pour Cognac into ice-filled highball glass and fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Brandy,Highball Glass, Cognac, Ginger ale or soda water, Lemon twist (optional),,,,,,,,,,2 oz,,,,,,,,,,,
Prince's Smile Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Apricot Flavored Brandy, Apple Brandy, Old Mr. Boston Dry Gin, Lemon Juice,,,,,,,,,1/2 oz,1/2 oz,1 oz,1/4 oz,,,,,,,,
Viva Villa,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice and strain into glass.,Tequila,Old-Fashioned Glass," Lime wedge, coarse salt", Blanco tequila, Fresh Lime Juice, Simple Syrup,,,,,,,,,For glass,1 1/2 oz,1 oz,1/2 oz,,,,,,,,
Praire Oyster Cocktail,Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add dash of cayenne pepper.,Cordials and Liqueurs,Old-Fashioned Glass, Old Mr. Boston Five Star Brandy, Worcestershire Sauce, Tomato Catsup, Vinegar, Pepper,,,,,,,,1 oz,1 oz,1 oz,1 oz,1 oz,,,,,,,
Praire Chicken,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,Cocktail Classics,White-Wine Glass, Old Mr. Boston Dry Gin, Whole Egg, Pepper and Salt,,,,,,,,,,1 oz,1 oz,,,,,,,,,,
Venial Sin,Stir with ice and strain into chilled cocktail glass.,Tequila,Cocktail Glass, Blanco tequila, Mezcal, Yellow Chartreuse, Elderflower liqueur, Maraschino liqueur,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1/4 oz,1/4 oz,,,,,,,
Vagabundo,Shake ingredients with ice. Strain into ice-filled hurricane glass. Garnish with lime wheel.,Tequila,Hurricane Glass, Reposado blanco tequila, Pineapple Juice, Fresh celery juice, Fresh Lime Juice, Lime wheel,,,,,,,,2 oz,1 1/2 oz,1 1/2 oz,1/2 oz,,,,,,,,
The 21st Century,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.,Tequila,Cocktail Glass,Absinthe, Absinthe, Blanco tequila, Fresh Lime Juice, White creme de cacao,,,,,,,,splash,1 oz,1 1/2 oz,3/4 oz,3/4 oz,,,,,,,
Pollyanna Cocktail,"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass.",Cocktail Classics,Cocktail Glass,orange peel,pineapple, Old Mr. Boston Dry Gin, sweet vermouth,,,,,,,,,3 slices,3 slices,2 oz,1/2 oz,1/2 tsp grenadine,,,,,,,
Toreador,"Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa. THE 21ST CENTURY 1 splash",Tequila,Cocktail Glass, Blanco tequila, Dark creme de cacao, half-and-half,,,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz," Whipped cream, cocoa",,,,,,,,
Pink Squirrel Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Mr. Boston Creme de Noyaux , Old Mr. Boston White Creme de Cacao, Light Sweet Cream,,,,,,,,,,1 oz,1 oz,1 oz,,,,,,,,,
Pink Lady Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Egg White, Grenadine, Sweet Cream, Old Mr. Boston Dry Gin,,,,,,,,,1 oz,1 oz,1 oz,1 1/2 oz,,,,,,,,
Tijuana Taxi,Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with orange and cherry.,Tequila,Highball Glass, Gold tequila, Blue curacao, Tropical fruit schnapps,," Orange wheel, maraschino cherry",,,,,,,,2 oz,1 oz,1 oz, Lemon-lime soda,,,,,,,,
Tia Juanathan,Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with orange.,Tequila,Highball Glass, Blanco tequila, Fresh Lime Juice, Aperol, Yellow Chartreuse, Soda water, Orange half-wheel,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1/2 oz,,,,,,,,
Phoebe Snow Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Dubonnet, Old Mr. Boston Five Star Brandy, Absinthe Substitute,,,,,,,,,,1 1/2 oz,1 1/2 oz,1/2 oz,,,,,,,,,
Tequonic,"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge.",Tequila,Old-Fashioned Glass, Blanco tequila, Fresh lemon or lime juice, Tonic water,,,,,,,,,,2 oz,1/4 oz,, Lemon or lime wedge,,,,,,,,
Tequini,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Tequila,Cocktail Glass, Blanco tequila, Dry Vermouth, Angostura bitters,,,,,,,,,,1 1/2 oz,1/2 oz,1 oz, Lemon twist,,,,,,,,
Passion Daiquiri Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Rum, Juice of a Lime, Powdered Sugar, Passion Fruit Juice,,,,,,,,,1 1/2 oz,1 oz,1 oz,1 oz,,,,,,,,
Parisian Blonde Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Sweet Cream, Old Mr. Boston Triple Sec, Jamaica Rum,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,,,,
Tequila Sunrise,"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise""",Tequila,Highball Glass, Blanco tequila, Orange juice, Grenadine,,,,,,,,,,2 oz,4 oz,3/4 oz,,,,,,,,,
Coffee Grasshopper,Shake with ice and strain into ice-filled old-fashioned glass.,Brandy,Old-Fashioned Glass, Coffee-flavored brandy, White creme de menthe, half-and-half,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,,,,
Tequila Straight,"Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime wedge in other hand. Taste the salt, drink the tequila, and then suck the lime.",Tequila,Shot Glass, Coarse salt, Blanco tequila, Lime wedge,,,,,,,,,,1 oz,1 1/2 oz,1 oz,,,,,,,,,
Tequila Sour,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.,Tequila,Cordial or Pony Glass, Blanco tequila, Fresh lemon juice, Simple Syrup,,,,,,,,,,2 oz,3/4 oz,3/4 oz," Lemon half-wheel, maraschino cherry",,,,,,,,
Tequila Smash,Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.,Tequila,Old-Fashioned Glass, Blueberries, Bing cherries, Blanco tequila, Maraschino liqueur, Fresh Lime Juice, Lime wheel skewered with blueberry and Bing cherry,,,,,,,4 oz,4 oz,2 oz,1/2 oz,1/2 oz,,,,,,,
Tequila Pink,Shake with ice and strain into chilled cocktail glass.,Tequila,Cocktail Glass, Blanco tequila, Dry Vermouth, Grenadine,,,,,,,,,,1 1/2 oz,1 oz,1/4 oz,,,,,,,,,
Tequila Old-Fashioned,"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Add lemon twist.",Tequila,Old-Fashioned Glass, Blanco tequila, Simple Syrup, Angostura Bitters, Soda water, Lemon twist,,,,,,,,1 1/2 oz,1 oz,1 oz,1 oz,,,,,,,,
Rob Roy Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Sweet Vermouth, Desmond & Duff Scotch Whisky,,,,,,,,,,,3/4 oz,1 1/2 oz,,,,,,,,,,
Tequila Mockingbird,Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.,Tequila,Cocktail Glass," Lime wedge, coarse salt", Minced ginger, Blanco tequila, Agave nectar, Fresh Lime Juice, Lime wheel,,,,,,,For glass,1/4 oz,1 3/4 oz,1 1/2 oz,1 oz,,,,,,,
Tequila Matador,Shake with ice and strain into chilled champagne flute.,Tequila,Champagne Flute, Blanco tequila, Pineapple Juice, Fresh Lime Juice,,,,,,,,,,1 1/2 oz,2 oz,1/2 oz,,,,,,,,,
Tequila Manhattan,Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.,Tequila,Old-Fashioned Glass, Blanco tequila, Sweet Vermouth, Angostura Bitters,,,,,,,,,,2 oz,1 oz,1 oz, Maraschino cherry,,,,,,,,
T.N.T. Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Thompson Blended Whiskey, Absinthe Substitute,,,,,,,,,,,1 1/2 oz,1 1/2 oz,,,,,,,,,,
Thunderclap Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Dry Gin, Old Thompson Blended Whiskey, Old Mr. Boston Five Star Brandy,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,,,,
Thunder Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Powdered Sugar, Egg Yolk, Old Mr. Boston Five Star Brandy, Cayenne Pepper,,,,,,,,,1 oz,1 oz,1 1/2 oz,1 oz,,,,,,,,
Tequila Collins,"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw.",Tequila,Collins Glass, Blanco tequila, Fresh lemon juice, Simple Syrup,,"lemon wheel, orange wheel, maraschino cherry",,,,,,,,2 oz,1/2 oz,1/2 oz, Soda water,,,,,,,,
White Lady Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Egg White, Powdered Sugar, Sweet Cream, Old Mr. Boston Dry Gin,,,,,,,,,1 oz,1 oz,1 oz,1 1/2 oz,,,,,,,,
Tequila Canyon,Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.,Tequila,Collins Glass, Blanco tequila, Triple Sec, Cranberry Juice, Pineapple Juice, Orange juice, Lime wheel,,,,,,,1 1/2 oz,1/4 oz,1 oz,1 oz,1 oz,,,,,,,
Chicago Cocktail,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Brandy,Old-Fashioned Glass," Lemon wedge, superfine sugar", Brandy, Fresh lemon juice, Orange curacao, Maraschino liqueur,,,,,,,,For glass,1 oz,1/2 oz,1/4 oz,1/4 oz,,,,,,,
Sunday Confession,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.,Tequila,Collins Glass, Blanco tequila, Limoncello, Fresh lemon juice,, Lemon wedge,,,,,,,,1 oz,1 oz,1/2 oz, Ginger beer,,,,,,,,
Strawberry Margarita,"If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry.",Tequila,Cocktail Glass," Lime wedge, superfine sugar or coarse salt (optional)"," Fresh strawberries, cut in half", Strawberry schnapps, Blanco tequila, Triple Sec," Fresh Lime Juice, whole strawberry",,,,,,,For glass,3 oz,3/4 oz,1 1/2 oz,3/4 oz,3/4 oz,,,,,,
Western Rose Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Apricot Flavored Brandy, Old Mr. Boston Dry Gin, Dry Vermouth, Lemon Juice,,,,,,,,,1/2 oz,1 oz,1/2 oz,1/4 oz,,,,,,,,
Widow's Kiss Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Five Star Brandy, Yellow Chartreuse, Benedictine, Peychaud Bitters,,,,,,,,,1 oz,1/2 oz,1/2 oz,1 oz,,,,,,,,
Spice Of Life,"Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig.",Tequila,Old-Fashioned Glass, Cucumber,Fresh mint leaves, Simple Syrup, Jalapeno-Infused Tequila, Fresh Lime Juice," Cucumber slice, fresh mint sprig",,,,,,,3 oz,12,3/4 oz,2 oz,3/4 oz,,,,,,,
Widow's Dream Cocktail,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.,Cocktail Classics,Cocktail Glass, Benedictine, Whole Egg,,,,,,,,,,,1 1/2 oz,1 oz,,,,,,,,,,
Vodka Gypsy Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Vodka, Benedictine, Angostura Bitters,,,,,,,,,,1 1/2 oz,3/4 oz,1 oz,,,,,,,,,
South Of The Border,Shake with ice and strain into chilled sour glass. Garnish with lime.,Tequila,Cordial or Pony Glass, Blanco tequila, Coffee-flavored brandy, Fresh Lime Juice,,,,,,,,,,1 oz,3/4 oz,1/2 oz, Lime wheel,,,,,,,,
Vodka Grasshopper Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Vodka, Old Mr. Boston Green Creme de Menthe, Old Mr. Boston White Creme de Cacao,,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,,,,
Violet Fizz Juice,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Cocktail Classics,Highball Glass, Juice of a Lemon, Powdered Sugar, Old Mr. Boston Dry Gin, Creme Yvette,,,,,,,,,1/2 oz,1/2 oz,1 1/2 oz,1 oz,,,,,,,,
Smoked Margarita,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Add lime wedge.,Tequila,Old-Fashioned Glass," Smoky Scotch whisky, such as Islay or Skye", Reposado tequila, Triple Sec, Fresh lemon juice, Fresh Lime Juice, Lime wedge,,,,,,,1/2 oz,1 oz,1 oz,1/2 oz,1/2 oz,,,,,,,
Sloe Tequila,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Add cucumber twist.,Shooters,Old-Fashioned Glass, Blanco tequila, Sloe gin, Fresh Lime Juice,,,,,,,,,,1 oz,1/2 oz,1/2 oz, Cucumber peel twist,,,,,,,,
Queen Elizabeth Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Dry Gin, Dry Vermouth, Benedictine,,,,,,,,,,1 1/2 oz,1/2 oz,1 1/2 oz,,,,,,,,,
Silk Stockings,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Tequila,Cocktail Glass, Blanco tequila, White creme de cacao, Heavy cream, Grenadine, Ground cinnamon,,,,,,,,1 1/2 oz,1 oz,1 1/2 oz,1 oz,,,,,,,,
Orchid Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Dry Gin, Egg White, Creme Yvette,,,,,,,,,,2 oz,1 oz,1 oz,,,,,,,,,
Orange Milk Fizz,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Cocktail Classics,Highball Glass, Juice of a Lemon, Powdered Sugar, Old Mr. Boston Orange Flavored Gin , Milk,,,,,,,,,1/2 oz,1 oz,2 oz,2 oz,,,,,,,,
Orange Gin Rickey,Pour into highball glass over ice cubes and fill with carbonated water. Add wedge of lime. Stir.,Cocktail Classics,Highball Glass, Juice of a Lime, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,,,1/2 oz,2 oz,,,,,,,,,,
Orange Gin Highball,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir.",Cocktail Classics,Highball Glass, Old Mr. Boston Orange Flavored Gin ,ginger ale,lemon twist,,,,,,,,,,2 oz,,,,,,,,,,,
Orange Gin Fizz,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Cocktail Classics,Highball Glass, Juice of a Lemon, Powdered Sugar, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,,1/2 oz,1 oz,2 oz,,,,,,,,,
Orange Gin Collins,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Decorate with slices of lemon and orange and a cherry. Serve with straws.",Cocktail Classics,Collins Glass, Juice of a Lemon, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,,,1/2 oz,2 oz,,,,,,,,,,
Sidewinder,Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Tequila,Collins Glass, Reposado tequila, Campari," Vanilla syrup, preferably B.A. Reynold's", Fresh Lime Juice, Mezcal," Ginger beer, 1 oz",,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/4 oz,2 oz,,,,,,
Orange Blossom Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Dry Gin, Orange Juice, Powdered Sugar,,,,,,,,,,1 oz,1 oz,1/4 oz,,,,,,,,,
Shady Lady,Combine all ingredients in ice-filled highball glass and stir. Garnish with lime and melon or cherry.,Tequila,Highball Glass, Blanco tequila, Melon liqueur, Fresh grapefruit juice, Fresh grapefruit juice, Lime wedge; honeydew melon wedge or maraschino cherry,,,,,,,,1 oz,1 oz,4 oz,4 oz,,,,,,,,
Cherry Blossom,Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Add cherry.,Brandy,Cocktail Glass," Cherry-flavored brandy, superfine sugar", Brandy, cherry-flavored brandy, Fresh lemon juice, Triple Sec," Grenadine, maraschino cherry",,,,,,,,1 oz,1/2 oz,1/2 oz,1/4 oz,1/4 oz,,,,,,
The Sfozando,Stir with ice and strain into cocktail glass. Add orange twist.,Tequila,Cocktail Glass, Mezcal, Rye Whiskey, Dry Vermouth, Benedictine, Chocolate bitters, Orange twist,,,,,,,1 oz,3/4 oz,1/2 oz,1/2 oz,1 oz,,,,,,,
Napoleon Cocktail,Stir with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Dry Gin, Curacao, Dubonnet,,,,,,,,,,2 oz,1/2 oz,1/2 oz,,,,,,,,,
Moulin Rouge Cocktail,Stir with ice and strain cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Sloe Gin, Sweet Vermouth, Bitters,,,,,,,,,,1 1/2 oz,3/4 oz,1 oz,,,,,,,,,
Sea Of Cortez,Shake with ice and strain into chilled cocktail glass.,Tequila,Cocktail Glass, Blanco tequila, Fresh Lime Juice, Creme de Cassis, Orange curacao,,,,,,,,,1 1/2 oz,1 oz,3/4 oz,1/4 oz,,,,,,,,
Satin Sheets,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Tequila,Cocktail Glass, Blanco tequila, Falernum, Simple Syrup, Fresh Lime Juice, Lime wheel,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,3/4 oz,,,,,,,,
Santana Sling,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Tequila,Collins Glass, Reposado tequila, Cherry Heering, Batavia arrack or light rum, Fresh Lime Juice, Ginger beer,,,,,,,,1 1/2 oz,1/2 oz,1/4 oz,1/2 oz,3 oz,,,,,,,
Rosita,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Tequila,Old-Fashioned Glass, Blanco tequila, Sweet Vermouth, Dry Vermouth, Campari, Angostura Bitters, Lemon twist,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1/2 oz,1 oz,,,,,,,
Mariposa Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Rum, Old Mr. Boston Five Star Brandy, Lemon Juice, Orange Juice, Grenadine,,,,,,,,1 oz,1/2 oz,1 oz,1 oz,1 oz,,,,,,,
Margarita Cocktail,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Classics,Cocktail Glass, Old Mr. Boston Tequila, Old Mr. Boston Triple Sec, Lemon or Lime Juice,,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,,,,,,,,,
The Refuge,Shake with ice. Strain into chilled cocktail glass.,Tequila,Cocktail Glass, Blanco tequila, Aperol, Fresh Lime Juice, Grapefruit Juice, Agave nectar,,,,,,,,1 1/2 oz,1/2 oz,1/4 oz,1/4 oz,1/4 oz,,,,,,,
Manhattan Cocktail (dry),Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Classics,Cocktail Glass, Dry Vermouth, Old Thompson Blended Whiskey,,,,,,,,,,,3/4 oz,1 1/2 oz,,,,,,,,,,
Mamie Taylor,Fill collins glass with ginger ale and ice. Stir.,Cocktail Classics,Collins Glass, Juice of a Lime, Desmond & Duff Scotch Whisky,,,,,,,,,,,1/2 oz,2 oz,,,,,,,,,,
Quetzalcoatl,Shake with ice and strain into cocktail glass. Add grapefruit twist.,Tequila,Cocktail Glass, Blanco tequila, Mezcal, Creme de peche, Guava puree, Grapefruit Juice, Grapefruit twist,,,,,,,1 oz,3/4 oz,1/2 oz,1/2 oz,1/2 oz,,,,,,,
Zero Mint,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Classics,Cocktail Glass, Mr. Boston Creme de menthe,water,,,,,,,,,,, 2 oz,,,,,,,,,,,
Purple Pancho,Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with lime wheel.,Tequila,Cocktail Glass," Lime wedge, superfine sugar", Blanco tequila, Blue curacao, Sloe gin, Fresh Lime Juice," each Fresh lemon juice, simple syrup, 1 lime wheel",,,,,,,For glass,1 oz,1/2 oz,1/2 oz,2 oz,1 oz,,,,,,
Midnight Express,Shake with ice and pour into ice-filled old-fashioned glass.,Rum - Daiquiris,Old-Fashioned Glass, Dark rum, Triple Sec, Fresh Lime Juice, Fresh lemon juice, Simple Syrup,,,,,,,,1 1/2 oz,1/2 oz,3/4 oz,1/4 oz,1/4 oz,,,,,,,
London Special Cocktail,Put a large twist of orange peel into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Cocktail Classics,Champagne Flute,orange peel,lump sugar,bitters,,,,,,,,,,,,2 dashes ,champagne,,,,,,,,
Mary Pickford Cocktail,Shake with ice and strain into chilled cocktail glass.,Rum - Daiquiris,Cocktail Glass, Light Rum, Pineapple Juice, Maraschino liqueur, Grenadine,,,,,,,,,1 1/2 oz,3/4 oz,1/4 oz,1/4 oz,,,,,,,,
Charles Cocktail,Stir with ice and strain into chilled cocktail glass.,Brandy,Cocktail Glass, Brandy, Sweet Vermouth, Angostura Bitters,,,,,,,,,,1 1/2 oz,1 1/2 oz,1 oz,,,,,,,,,
Martinique Rose,Shake with ice and strain into chilled cocktail glass.,Rum - Daiquiris,Cocktail Glass, Aged rhum agricole, Amaretto, Fresh Lime Juice, Grapefruit Juice, orgeat or almond syrup,,,,,,,,2 oz,1/2 oz,3/4 oz,3/4 oz,1/2 oz,,,,,,,
Mariposa,Shake with ice and strain into chilled cocktail glass.,Rum - Daiquiris,Cocktail Glass, Light Rum, Brandy, Fresh lemon juice, Orange juice, Grenadine,,,,,,,,1 oz,1/2 oz,1/2 oz,1/2 oz,1 oz,,,,,,,
Mandeville,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Rum - Daiquiris,Old-Fashioned Glass, Light Rum, Dark rum, Fresh lemon juice, Anisette, Grenadine,,,,,,,,1 1/2 oz,1 oz,1/2 oz,1 oz,1 oz, Cola,,,,,,
K.C.B. Cocktail,Shake with ice and strain into cocktail glass. Add twist of lemon peel.,Cocktail Classics,Cocktail Glass, Old Mr. Boston Kummel, Old Mr. Boston Dry Gin, Old Mr. Boston Apricot Flavored Brandy, Lemon Juice,,,,,,,,,1/2 oz,1 1/2 oz,1/4 oz,1/4 oz,,,,,,,,
Malmaison,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Rum - Daiquiris,Cocktail Glass, Anisette, Light Rum, Cream sherry, Fresh lemon juice,,,,,,,,,,1 oz,1/2 oz,1 oz,,,,,,,,
Mai-Tai (Trader Vic Version),"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with lime shell, mint, and skewered pineapple and cherry.",Rum - Daiquiris,Old-Fashioned Glass," Dark rum, preferably Jamaican", Orange curacao, Fresh lime juice (reserve 1/2 lime shell for garnish), Orgeat Syrup, Rock candy syrup or simple syrup, Fresh mint sprig; pineapple wedge skewered with maraschino cherry,,,,,,,2 oz,1/2 oz,1 oz,1/2 oz,1/4 oz,,,,,,,
Jersey Lightning Cocktail,Shake with ice and strain into cocktail glass.,Cocktail Classics,Cocktail Glass, Apple Brandy, Sweet Vermouth, Juice of a Lime,,,,,,,,,,1 1/2 oz,1/2 oz,1 oz,,,,,,,,,
