name,instructions,category,glass,ingredient-1,ingredient-2,ingredient-3,ingredient-4,ingredient-5,ingredient-6,ingredient-7,ingredient-8,ingredient-9,ingredient-10,ingredient-11,ingredient-12,measurement-1,measurement-2,measurement-3,measurement-4,measurement-5,measurement-6,measurement-7,measurement-8,measurement-9,measurement-10,measurement-11,measurement-12
Underneath The Mango Tree,Rim Collins glass with lime and sweet chili powder. Fill glass with ice. Shake next four ingredients with ice. Strain into glass. Top with ginger ale.,Vodka,Collins Glass," Lime wedge, Sweet Chili Powder", Mango-flavored vodka, Peach liqueur, Fresh Lime Juice, Simple Syrup, Ginger ale,,,,,,,For glass,1 oz,1/2 oz,3/4 oz,1/2 oz,2 oz,,,,,,
Fancy-Free Cocktail,Stir with ice and strain into chilled cocktail glass.,Whiskies,Cocktail Glass, Bourbon whiskey, Maraschino liqueur, Angostura Bitters, Orange Bitters,,,,,,,,,2 oz,1/2 oz,1 oz,1 oz,,,,,,,,
Honeymoon Cocktail,Shake with ice and strain into chilled cocktail glass.,Brandy,Cocktail Glass, Apple Brandy, Benedictine, Fresh lemon juice, Triple Sec,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,1/2 oz,,,,,,,,
Twister,Pour vodka and lime juice into Collins glass. Add several ice cubes. Squeeze lime into glass and add. Fill with lemon-lime soda and stir.,Vodka,Collins Glass, Vodka, Fresh Lime Juice, Lime wedge, Lemon-lime soda,,,,,,,,,2 oz,1/2 oz,,,,,,,,,,
Everybody's Irish Cocktail,Stir with ice and strain into chilled cocktail glass. Garnish with olive.,Whiskies,Cocktail Glass, Irish Whiskey, Green creme de menthe, Green Chartreuse, Green olive,,,,,,,,,2 oz,1 oz,1 oz,1 oz,,,,,,,,
Trident,Stir and strain into cocktail glass. Garnish with lemon twist.,Vodka,Cocktail Glass, Aquavit or vodka, Cynar, Dry Sherry, Peach bitters,,,,,,,,,1 oz,1/2 oz,1 oz,2 oz, Lemon twist,,,,,,,
Top Banana,Shake with ice and strain into ice-filled old-fashioned glass.,Vodka,Old-Fashioned Glass, Vodka, Creme de banana, Orange juice,,,,,,,,,,1 oz,1 oz,2 oz,,,,,,,,,
Emperor Norton's Mistress,Muddle halved strawberries in mixing glass. Add remaining ingredients. Shake with ice and double-strain into ice-filled oldfashioned glass. Garnish with strawberry slice.,Whiskies,Old-Fashioned Glass," Fresh strawberries, cut in halves", Bourbon whiskey, Vanilla liqueur, Triple Sec,,,,,,,,,3 oz,1 1/2 oz,1/2 oz,1/4 oz, Strawberry slice,,,,,,,
Easterner,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Whiskies,Cocktail Glass, Straight rye whiskey, Fresh grapefruit juice, Maple Syrup, Grapefruit twist,,,,,,,,,2 oz,1 oz,1/2 oz,,,,,,,,,
Toasted Drop,Rim chilled cocktail glass with lemon and cinnamon sugar. Shake ingredients without ice. Add ice and shake again. Strain into glass. Add lemon twist.,Vodka,Cocktail Glass," Lemon wedge, Cinnamon Sugar", Citrus-flavored vodka, Limoncello, Amaretto, Fresh lemon juice, Egg White,,,,,,,For glass,1 1/2 oz,3/4 oz,1/4 oz,3/4 oz,1 oz,,,,,,
